pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR21882,11,0,1995,SHRAWON KUMAR,Bihar,NALANDA,SAP,,47488,M,1,4,FALSE,FALSE,40.3,22863,19.4,,4,4
AEBR21882,14,0,2005,SHRAWON KUMAR,Bihar,NALANDA,JD(U),SAP,37806,M,1,4,TRUE,FALSE,46.69,4050,5,45,4,4
AEBR21882,15,0,2010,SHRAWON KUMAR,Bihar,NALANDA,JD(U),JD(U),58067,M,1,4,FALSE,TRUE,48.03,21037,17.4,51,4,4
AEBR21882,16,0,2015,SHRAWON KUMAR,Bihar,NALANDA,JD(U),JD(U),72596,M,1,4,FALSE,TRUE,44.78,2996,1.85,56,4,4
AEBR2195,16,0,2015,BIRENDRA KUMAR,Bihar,TEGHRA,RJD,,68975,M,1,1,FALSE,FALSE,43.16,15611,9.77,62,1,1
AEBR2196,16,0,2015,RAM LAKHAN SINGH,Bihar,TEGHRA,BJP,,53364,M,2,1,FALSE,FALSE,33.39,27546,17.24,57,,1
AEBR2214,16,0,2015,M.D. ASLAM,Bihar,SAHEBPUR KAMAL,LJP,,32751,M,2,1,FALSE,FALSE,23.92,20492,14.96,55,,1
AEBR2217,15,0,2010,ES EM NUR ALAM,Bihar,SAHEBPUR KAMAL,CPI(ML)(L),,1849,M,6,2,FALSE,FALSE,1.71,179,0.17,53,,2
AEBR2217,16,0,2015,S.M. NOOR ALAM,Bihar,SAHEBPUR KAMAL,CPI(ML)(L),CPI(ML)(L),2198,M,5,2,FALSE,FALSE,1.61,324,0.24,58,,2
AEBR2225,16,0,2015,AMITA BHUSHAN,Bihar,BEGUSARAI,INC,,83521,F,1,1,FALSE,FALSE,49.21,16531,9.74,44,1,1
AEBR22356,11,0,1995,NAND KISHORE YADAV,Bihar,PATNA EAST,BJP,,41228,M,1,6,FALSE,FALSE,35.57,6430,5.55,,6,6
AEBR22356,12,0,2000,NAND KISHOR YADAV,Bihar,PATNA EAST,BJP,BJP,65377,M,1,6,FALSE,TRUE,54.13,31492,26.07,,6,6
AEBR22356,13,0,2005,NAND KISHOR YADAV,Bihar,PATNA EAST,BJP,BJP,62746,M,1,6,FALSE,TRUE,51.8,32753,27.04,51,6,6
AEBR22356,14,0,2005,NAND KISHORE YADAV,Bihar,PATNA EAST,BJP,BJP,70148,M,1,6,FALSE,TRUE,62.33,35970,31.96,52,6,6
AEBR22356,15,0,2010,NAND KISHORE YADAV,Bihar,PATNA SAHIB,BJP,BJP,91419,M,1,6,FALSE,TRUE,68.07,65337,48.65,57,6,6
AEBR22356,16,0,2015,NAND KISHORE YADAV,Bihar,PATNA SAHIB,BJP,BJP,88108,M,1,6,FALSE,TRUE,46.89,2792,1.49,62,6,6
AEBR2248,16,0,2015,CHANDAN KUMAR,Bihar,ALAULI,RJD,,70519,M,1,1,FALSE,FALSE,51.57,24470,17.89,34,1,1
AEBR2259,16,0,2015,RAJESH KUMAR URF ROHIT KUMAR,Bihar,KHAGARIA,HAMS,,39202,M,2,1,FALSE,FALSE,28.1,26411,18.93,35,,1
AEBR2272,16,0,2015,PANNA LAL SINGH PATEL,Bihar,BELDAUR,JD(U),,63216,M,1,1,FALSE,FALSE,37.81,13525,8.09,66,1,1
AEBR22758,11,0,1995,RAMASHANKAR RAM,Bihar,RAJPUR,CPI(ML)(L),,356,M,12,3,FALSE,FALSE,0.37,84,0.09,,,3
AEBR22758,15,0,2010,RAMASHANKER RAM,Bihar,RAJPUR,CPI(ML)(L),CPI(ML)(L),3715,M,6,3,FALSE,FALSE,2.7,782,0.57,50,,3
AEBR22758,16,0,2015,RAMASHANKER RAM,Bihar,RAJPUR,CPI(ML)(L),CPI(ML)(L),2143,M,8,3,FALSE,FALSE,1.22,767,0.44,56,,3
AEBR22764,11,0,1995,RAM BIHARI SINGH,Bihar,DUMRAON,SAP,,10559,M,4,5,FALSE,FALSE,9.44,2500,2.24,,,5
AEBR22764,12,0,2000,RAM BIHARI SINGH,Bihar,DUMRAON,SAP,SAP,22029,M,2,5,FALSE,FALSE,20.57,8496,7.93,,,5
AEBR22764,13,0,2005,RAM BIHARI SINGH,Bihar,DUMRAON,JD(U),SAP,14099,M,3,5,TRUE,FALSE,13,683,0.63,49,,5
AEBR22764,14,0,2005,RAMBIHARI SINGH,Bihar,DUMRAON,JD(U),JD(U),22584,M,2,5,FALSE,FALSE,21.68,854,0.82,49,,5
AEBR22764,16,0,2015,RAM BIHARI SINGH,Bihar,DUMRAON,BLSP,JD(U),50742,M,2,5,TRUE,FALSE,29.98,36086,21.32,55,,5
AEBR2285,16,0,2015,RAMANUJ CHOUDHARY,Bihar,PARBATTA,BJP,,47324,M,2,1,FALSE,FALSE,27.97,24187,14.29,52,,1
AEBR2300,16,0,2015,VARSHA RANI,Bihar,BIHPUR,RJD,,68963,F,1,1,FALSE,FALSE,48.39,12716,8.92,30,1,1
